Data Year,Fuel Type,ZIP,Number of Vehicles
1998,Electric,90404,1
1998,Electric,91709,2
1998,Electric,94063,1
1998,Electric,99999,1
1999,Electric,93102,1
2000,Electric,99999,2
2001,Electric,90731,1
2002,Electric,93003,1
2002,Electric,93012,1
2002,Electric,93292,1
2003,Electric,91360,2
2003,Electric,93012,1
2003,Electric,93101,1
2003,Electric,93645,1
2003,Electric,95648,1
2004,Electric,93101,1
2005,Electric,91101,1
2005,Electric,92314,1
2005,Electric,93010,4
2005,Electric,94558,1
2005,Electric,95817,1
2006,Electric,93003,1
2009,Electric,90021,1
2009,Electric,90024,1
2009,Electric,90025,1
2009,Electric,90049,3
2009,Electric,90064,1
2009,Electric,90069,1
2009,Electric,90265,5
2009,Electric,90266,2
2009,Electric,90272,1
2009,Electric,90402,1
2009,Electric,90404,1
2009,Electric,90405,2
2009,Electric,90803,2
2009,Electric,90814,1
2009,Electric,91101,2
2009,Electric,91103,1
2009,Electric,91301,1
2009,Electric,91320,1
2009,Electric,91423,1
2009,Electric,91724,1
2009,Electric,92037,1
2009,Electric,92603,1
2009,Electric,92651,1
2009,Electric,92657,1
2009,Electric,93013,1
2009,Electric,93021,1
2009,Electric,93033,4
2009,Electric,93311,1
2009,Electric,93405,1
2009,Electric,93536,1
2009,Electric,94002,1
2009,Electric,94010,2
2009,Electric,94022,5
2009,Electric,94025,2
2009,Electric,94027,1
2009,Electric,94040,1
2009,Electric,94041,1
2009,Electric,94062,3
2009,Electric,94070,1
2009,Electric,94107,1
2009,Electric,94115,1
2009,Electric,94118,2
2009,Electric,94131,1
2009,Electric,94301,1
2009,Electric,94563,1
2009,Electric,94611,3
2009,Electric,94618,1
2009,Electric,94705,1
2009,Electric,94947,1
2009,Electric,95070,3
2009,Electric,95128,1
2009,Electric,95357,1
2009,Electric,95472,1
2009,Electric,95573,1
2009,Electric,95608,1
2009,Electric,95616,1
2009,Electric,95831,1
2009,Hydrogen,90405,1
2010,Electric,90010,2
2010,Electric,90020,1
2010,Electric,90024,6
2010,Electric,90025,2
2010,Electric,90027,3
2010,Electric,90035,2
2010,Electric,90046,3
2010,Electric,90049,5
2010,Electric,90064,2
2010,Electric,90068,5
2010,Electric,90069,2
2010,Electric,90077,3
2010,Electric,90210,12
2010,Electric,90212,3
2010,Electric,90232,1
2010,Electric,90248,1
2010,Electric,90250,6
2010,Electric,90254,3
2010,Electric,90265,5
2010,Electric,90266,7
2010,Electric,90272,6
2010,Electric,90274,1
2010,Electric,90275,2
2010,Electric,90291,3
2010,Electric,90292,1
2010,Electric,90401,4
2010,Electric,90402,9
2010,Electric,90404,1
2010,Electric,90405,2
2010,Electric,90620,1
2010,Electric,90703,1
2010,Electric,90720,1
2010,Electric,90802,1
2010,Electric,90803,2
2010,Electric,90807,2
2010,Electric,91001,1
2010,Electric,91006,1
2010,Electric,91007,1
2010,Electric,91011,4
2010,Electric,91017,1
2010,Electric,91024,2
2010,Electric,91101,1
2010,Electric,91103,2
2010,Electric,91104,1
2010,Electric,91105,2
2010,Electric,91106,1
2010,Electric,91107,2
2010,Electric,91108,1
2010,Electric,91204,1
2010,Electric,91207,1
2010,Electric,91214,2
2010,Electric,91301,1
2010,Electric,91302,1
2010,Electric,91307,2
2010,Electric,91311,2
2010,Electric,91325,1
2010,Electric,91326,3
2010,Electric,91344,1
2010,Electric,91360,1
2010,Electric,91361,2
2010,Electric,91362,1
2010,Electric,91364,1
2010,Electric,91367,1
2010,Electric,91401,1
2010,Electric,91403,4
2010,Electric,91423,1
2010,Electric,91436,1
2010,Electric,91504,1
2010,Electric,91601,1
2010,Electric,91602,1
2010,Electric,91604,1
2010,Electric,91754,1
2010,Electric,91765,5
2010,Electric,91767,1
2010,Electric,92008,2
2010,Electric,92014,2
2010,Electric,92024,1
2010,Electric,92029,1
2010,Electric,92037,3
2010,Electric,92054,1
2010,Electric,92064,1
2010,Electric,92065,2
2010,Electric,92067,1
2010,Electric,92075,3
2010,Electric,92091,3
2010,Electric,92101,2
2010,Electric,92109,1
2010,Electric,92117,2
2010,Electric,92127,1
2010,Electric,92130,2
2010,Electric,92201,1
2010,Electric,92270,2
2010,Electric,92315,1
2010,Electric,92504,1
2010,Electric,92603,1
2010,Electric,92604,1
2010,Electric,92618,1
2010,Electric,92625,1
2010,Electric,92629,1
2010,Electric,92648,1
2010,Electric,92649,1
2010,Electric,92651,3
2010,Electric,92657,2
2010,Electric,92660,3
2010,Electric,92661,1
2010,Electric,92663,1
2010,Electric,92672,1
2010,Electric,92675,1
2010,Electric,92677,3
2010,Electric,92679,1
2010,Electric,92692,1
2010,Electric,92705,3
2010,Electric,92780,1
2010,Electric,92782,1
2010,Electric,92807,2
2010,Electric,92808,2
2010,Electric,92831,1
2010,Electric,92868,1
2010,Electric,92886,1
2010,Electric,93021,2
2010,Electric,93033,12
2010,Electric,93063,1
2010,Electric,93065,3
2010,Electric,93101,1
2010,Electric,93108,4
2010,Electric,93109,1
2010,Electric,93110,1
2010,Electric,93619,1
2010,Electric,93730,1
2010,Electric,93923,1
2010,Electric,93940,1
2010,Electric,94002,1
2010,Electric,94010,5
2010,Electric,94018,1
2010,Electric,94019,1
2010,Electric,94022,13
2010,Electric,94023,1
2010,Electric,94024,9
2010,Electric,94025,8
2010,Electric,94027,7
2010,Electric,94028,5
2010,Electric,94040,1
2010,Electric,94043,1
2010,Electric,94062,6
2010,Electric,94065,1
2010,Electric,94066,2
2010,Electric,94086,2
2010,Electric,94087,4
2010,Electric,94102,2
2010,Electric,94105,1
2010,Electric,94108,1
2010,Electric,94109,3
2010,Electric,94111,1
2010,Electric,94115,2
2010,Electric,94116,2
2010,Electric,94118,1
2010,Electric,94123,3
2010,Electric,94130,1
2010,Electric,94131,1
2010,Electric,94133,2
2010,Electric,94301,7
2010,Electric,94303,3
2010,Electric,94304,9
2010,Electric,94305,1
2010,Electric,94306,7
2010,Electric,94404,2
2010,Electric,94502,1
2010,Electric,94526,1
2010,Electric,94539,1
2010,Electric,94549,4
2010,Electric,94562,1
2010,Electric,94563,4
2010,Electric,94566,3
2010,Electric,94574,1
2010,Electric,94599,1
2010,Electric,94605,1
2010,Electric,94611,2
2010,Electric,94618,1
2010,Electric,94704,1
2010,Electric,94707,2
2010,Electric,94708,1
2010,Electric,94901,2
2010,Electric,94904,1
2010,Electric,94920,2
2010,Electric,94941,2
2010,Electric,94946,1
2010,Electric,94949,1
2010,Electric,94955,1
2010,Electric,94957,3
2010,Electric,94960,1
